Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.5,349601349,1205,290125.6,9395.0,4055,68997084,3406824.4,cudaLaunchKernel
10.5,57501939,230,250008.4,153659.5,11893,4134787,351820.6,cudaEventSynchronize
9.6,52601574,253,207911.4,142555.0,9401,1116285,204390.8,cudaDeviceSynchronize
9.1,50144866,28,1790888.1,2003900.5,24182,3518467,1030662.2,cudaFree
3.6,19597762,32,612430.1,513276.5,8741,1479195,434855.6,cudaMalloc
1.7,9355863,212,44131.4,1472.0,522,8586080,589516.4,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.5,2782718,1,2782718.0,2782718.0,2782718,2782718,0.0,cudaHostAlloc
0.4,2291914,480,4774.8,4253.5,890,38463,2737.7,cudaEventRecord
0.3,1775591,412,4309.7,651.5,211,54184,5547.4,cudaMemsetAsync
0.3,1649794,1,1649794.0,1649794.0,1649794,1649794,0.0,cudaGetDeviceProperties_v2_v12000
0.2,1011968,23,43998.6,40702.0,31262,68353,8640.8,cudaMemGetInfo
0.2,834583,2095,398.4,359.0,158,12013,369.0,cuGetProcAddress_v2
0.1,470339,16,29396.2,3919.0,3510,341805,84602.6,cudaStreamCreateWithFlags
0.0,183651,46,3992.4,2736.0,756,22192,3533.3,cudaEventCreate
0.0,83520,28,2982.9,2818.5,1729,5532,806.5,cudaStreamIsCapturing_v10000
0.0,78797,46,1713.0,1344.0,616,3550,701.1,cudaEventDestroy
0.0,59498,32,1859.3,1510.5,929,5760,1238.8,cudaStreamWaitEvent
0.0,48139,1,48139.0,48139.0,48139,48139,0.0,cudaMemcpyAsync
0.0,27318,19,1437.8,598.0,505,9243,2164.4,cudaEventCreateWithFlags
0.0,20013,7,2859.0,2893.0,1822,3572,653.5,cuInit
0.0,7564,1,7564.0,7564.0,7564,7564,0.0,cuProfilerStart
0.0,2594,2,1297.0,1297.0,747,1847,777.8,cudaGetDriverEntryPoint_v11030
0.0,2108,5,421.6,424.0,250,566,113.1,cuModuleGetLoadingMode
