Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
16.6,18744147,52,360464.4,310092.0,46175,835253,267982.1,_5x_cudnn_volta_scudnn_128x32_relu_small_nn_v1
10.0,11331695,47,241099.9,172094.0,29983,739575,199753.7,_5x_cudnn_volta_scudnn_128x32_relu_medium_nn_v1
9.4,10622325,44,241416.5,159261.5,79135,710743,188518.5,_5x_cudnn_volta_scudnn_128x64_3dconv_fprop_medium_nn_v1
9.0,10142558,44,230512.7,168909.5,30848,676728,179648.2,_5x_cudnn_volta_scudnn_128x32_3dconv_fprop_small_nn_v1
8.3,9369612,45,208213.6,150271.0,32128,619448,161414.5,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1
5.9,6647598,23,289026.0,212189.0,78175,875477,232141.4,_5x_cudnn_volta_scudnn_128x128_relu_medium_nn_v1
5.6,6330863,16,395678.9,344012.0,116319,663031,201945.8,_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1
5.4,6137491,32,191796.6,155854.0,33599,495834,119273.8,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
5.2,5921303,41,144422.0,136639.0,59007,297565,69133.0,_5x_cudnn_volta_scudnn_128x32_sliced1x4_ldg4_relu_exp_medium_nhwc_tn_v1
5.1,5726452,31,184724.3,140478.0,34911,413594,108526.3,"void implicit_convolve_sgemm<float, float, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
3.2,3582894,26,137803.6,123663.0,30943,255229,67842.1,"void precomputed_convolve_sgemm<float, (int)1024, (int)5, (int)5, (int)4, (int)3, (int)3, (int)1, (bool)0>(int, int, int, const T1 *, int, T1 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, bool, bool, const T1 *, const T1 *, int *)"
2.6,2937305,44,66756.9,71791.5,25183,132158,27054.8,volta_sgemm_128x64_nn
1.9,2121032,16,132564.5,146718.0,63008,170558,39104.3,"void implicit_convolve_sgemm<float, float, (int)128, (int)6, (int)7, (int)3, (int)3, (int)5, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1.8,2077574,2,1038787.0,1038787.0,1038131,1039443,927.7,"void cudnn::cnn::conv2d_grouped_direct_kernel<(bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)0, (int)0, (int)0, int, float, float, float, float, float, float>(cudnn::cnn::GroupedDirectFpropParams, const T11 *, const T13 *, T12 *, T14, T14, const T14 *, const T14 *, const T12 *, const T15 *, cudnnActivationStruct)"
1.7,1958211,21,93248.1,94494.0,65951,127902,22579.4,_5x_cudnn_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1
1.3,1477997,6,246332.8,203629.5,120670,414298,135147.6,"void implicit_convolve_sgemm<float, float, (int)512, (int)6, (int)8, (int)3, (int)3, (int)5, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1.0,1145867,58,19756.3,10976.0,2783,92031,24477.7,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<T3>, const T1 *, T2 *)"
0.9,1026867,12,85572.3,86735.0,49952,121150,31770.9,volta_sgemm_64x64_nn
0.8,864084,21,41146.9,24127.0,4512,153150,55641.0,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)"
0.7,739537,224,3301.5,3839.5,1696,4992,884.2,"void cask__5x_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask__5x_cudnn::ComputeOffsetsParams)"
0.5,622108,53,11737.9,8704.0,3009,36671,9232.9,"void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float, (bool)1, (int)1>(T2, T2, cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, cudnnTensorStruct, const T2 *, const T2 *, const T2 *, const T2 *, T2)"
0.5,602937,2,301468.5,301468.5,299421,303516,2895.6,"void precomputed_convolve_sgemm<float, (int)128, (int)6, (int)7, (int)3, (int)3, (int)5, (int)1, (bool)0>(int, int, int, const T1 *, int, T1 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, bool, bool, const T1 *, const T1 *, int *)"
0.4,495227,12,41268.9,41328.0,39936,42879,1146.0,volta_sgemm_64x32_sliced1x4_nn
0.4,396604,5,79320.8,79200.0,78591,79935,588.0,volta_sgemm_128x32_sliced1x4_nn
